"","DistCode","DistName","SchCode","Year","SchName","SchType","GroupType","GroupName","TestSubject","Level_1_Count","Level_2_Count","Level_3_Count","Level_4_Count","Total_Count","Level_1_Percentage","Level_2_Percentage","Level_3_Percentage","Level_4_Percentage"
"113","41","Achievement First Rhode Island","28615","2018","AF Providence Mayoral Academy Middle","5-8","Race7","AM7","Math",0,0,0,0,0,0,0,0,0
"114","41","Achievement First Rhode Island","28615","2018","AF Providence Mayoral Academy Middle","5-8","Race7","AS7","Math",0,0,0,0,0,0,0,0,0
"115","41","Achievement First Rhode Island","28615","2018","AF Providence Mayoral Academy Middle","5-8","Race7","BL7","Math",1,7,8,0,16,0.0625,0.4375,0.5,0
"116","41","Achievement First Rhode Island","28615","2018","AF Providence Mayoral Academy Middle","5-8","Race7","HI7","Math",2,32,35,1,70,0.0285714285714286,0.457142857142857,0.5,0.0142857142857143
"117","41","Achievement First Rhode Island","28615","2018","AF Providence Mayoral Academy Middle","5-8","Race7","MU7","Math",0,0,0,0,0,0,0,0,0
"118","41","Achievement First Rhode Island","28615","2018","AF Providence Mayoral Academy Middle","5-8","Race7","WH7","Math",0,0,0,0,0,0,0,0,0
"119","41","Achievement First Rhode Island","28615","2018","AF Providence Mayoral Academy Middle","5-8","sex","Female","Math",1,18,25,1,45,0.0222222222222222,0.4,0.555555555555556,0.0222222222222222
"120","41","Achievement First Rhode Island","28615","2018","AF Providence Mayoral Academy Middle","5-8","sex","Male","Math",2,29,22,1,54,0.037037037037037,0.537037037037037,0.407407407407407,0.0185185185185185
"121","42","Sheila Skip Nowell Leadership Academy","04603","2018","Unknown","Unknown","All Students","All","ELA",0,0,0,0,0,0,0,0,0
"122","42","Sheila Skip Nowell Leadership Academy","04603","2018","Unknown","Unknown","foster","No","ELA",0,0,0,0,0,0,0,0,0
"123","42","Sheila Skip Nowell Leadership Academy","04603","2018","Unknown","Unknown","Grade","11","ELA",0,0,0,0,0,0,0,0,0
"124","42","Sheila Skip Nowell Leadership Academy","04603","2018","Unknown","Unknown","homeless","No","ELA",0,0,0,0,0,0,0,0,0
"125","42","Sheila Skip Nowell Leadership Academy","04603","2018","Unknown","Unknown","iepdata","NOT SWD","ELA",0,0,0,0,0,0,0,0,0
