"","DistCode","DistName","SchCode","Year","Takeover","SchName","SchType","Neighborhood","GroupType","GroupName","TestSubject","Level_1_Count","Level_2_Count","Level_3_Count","Level_4_Count","Total_Count","Level_1_Percentage","Level_2_Percentage","Level_3_Percentage","Level_4_Percentage"
"2671","28","Providence","28195",2019,"Pre Takeover","360 High School","High School","Lower South Providence","military","No","ELA",40,13,3,2,58,68.9655172413793,22.4137931034483,5.17241379310345,3.44827586206897
"2672","28","Providence","28195",2019,"Pre Takeover","360 High School","High School","Lower South Providence","Race7","AM7","ELA",0,0,0,0,0,0,0,0,0
"2673","28","Providence","28195",2019,"Pre Takeover","360 High School","High School","Lower South Providence","Race7","AS7","ELA",0,0,0,0,0,0,0,0,0
"2674","28","Providence","28195",2019,"Pre Takeover","360 High School","High School","Lower South Providence","Race7","BL7","ELA",0,0,0,0,0,0,0,0,0
"2675","28","Providence","28195",2019,"Pre Takeover","360 High School","High School","Lower South Providence","Race7","HI7","ELA",27,8,3,1,39,69.2307692307692,20.5128205128205,7.69230769230769,2.56410256410256
"2676","28","Providence","28195",2019,"Pre Takeover","360 High School","High School","Lower South Providence","Race7","MU7","ELA",0,0,0,0,0,0,0,0,0
"2677","28","Providence","28195",2019,"Pre Takeover","360 High School","High School","Lower South Providence","Race7","WH7","ELA",0,0,0,0,0,0,0,0,0
"2678","28","Providence","28195",2019,"Pre Takeover","360 High School","High School","Lower South Providence","sex","Female","ELA",22,8,1,0,31,70.9677419354839,25.8064516129032,3.2258064516129,0
"2679","28","Providence","28195",2019,"Pre Takeover","360 High School","High School","Lower South Providence","sex","Male","ELA",18,5,2,2,27,66.6666666666667,18.5185185185185,7.40740740740741,7.40740740740741
"2680","28","Providence","28196",2019,"Pre Takeover","Evolutions High School","High School","Unknown for Now","All Students","All","ELA",38,10,6,0,54,70.3703703703704,18.5185185185185,11.1111111111111,0
"2681","28","Providence","28196",2019,"Pre Takeover","Evolutions High School","High School","Unknown for Now","foster","No","ELA",37,10,6,0,53,69.811320754717,18.8679245283019,11.3207547169811,0
"2682","28","Providence","28196",2019,"Pre Takeover","Evolutions High School","High School","Unknown for Now","foster","Yes","ELA",0,0,0,0,0,0,0,0,0
